Palavra,Pronúncia,Tradução
the,dhâ,"o, a, os, as"
of,âv,de
to,tuu,para
and,énd,e
a,â,"um, uma"
in,ên,"em, dentro"
is,ês,é
it,êt,este
you,yuu,você
that,dhét,"que, aquele"
he,rrii,ele
was,uós,"era, estava"
for,fór,"por, para"
on,ón,em
are,ar,"são, estão"
with,uêdh,com
as,és,"como, enquanto"
I,ai,eu
his,rrês,seu
they,dhei,eles
be,bii,"ser, estar"
at,ét,em
one,uân,um
have,rrév,ter
this,dhês,este
from,frâm,de
or,ór,ou
had,rréd,tinha
by,bai,"por, em"
hot,rrat,quente
word,uâd,palavra
but,bât,mas
what,uót,o-que
some,sâm,algum
we,uii,nós
can,kén,"pode, lata"
out,aut,fora
other,âdhâr,outro
were,uâr,"eram, esavam"
all,ól,todo
there,thér,lá
when,uen,quando
up,âp,para-cima
use,iuz,usar
your,yór,seu
how,rráu,"como, quão"
said,séd,disse
an,én,"um, uma"
each,iich,cada
she,shii,ela
which,uêtch,qual
do,duu,"fazer, mesmo"
their,thér,seus
time,taim,"tempo, hora"
if,êf,se
will,uêl,"vai, vontade"
way,uei,"caminho, jeito"
about,âbaut,"sobre, quase"
many,méni,muitos
then,dhên,então
them,dhêm,deles
write,rait,escrever
would,uôd,deveria
like,laik,"como, gostar"
so,sôu,"assim, tão"
these,dhiiz,estes
her,rrâr,dela
long,lóng,longo
make,meik,fazer
thing,thêng,coisa
see,sii,ver
him,rrêm,dele
two,tuu,"dois, duas"
has,rrés,tem
look,lôk,olhar
more,mór,mais
day,dei,dia
could,côd,poderia
go,gôu,ir
come,câm,vir
did,dêd,"fez, mesmo"
number,nâmbâr,número
sound,saund,som
no,nou,não
most,moust,"mais, maior"
people,piipâl,"pessoas, povo"
my,mai,meu
over,ouvâr,"sobre, acima-de"
know,nou,saber
water,uóttâr,água
than,dhén,que
call,cól,chamar
first,fârst,primeiro
who,rruu,que
may,mei,"maio, pode"
down,daun,baixo
side,said,lado
been,bên,"sido, estado"
now,nau,agora
find,faind,encontrar
any,éni,qualquer
new,nuu,novo
work,uârk,trabalho
part,part,parte
take,teik,pegar
get,ghét,ficar
place,pleis,lugar
made,meid,feito
live,"lêv, laiv","viver, vivo"
where,uér,onde
after,éftâr,após
back,bék,"atrás, costas"
little,lêttâl,"pequeno, pouco"
only,ounli,somente
round,raund,"redondo, rodada"
man,mén,homem
year,yiir,ano
came,keim,chegado
show,shou,mostrar
every,evri,cada
good,gôd,bom
me,mii,"me, eu"
give,ghêv,dar
our,ar,nosso
under,ândâr,sob
name,neim,nome
very,véri,"muito, absoluto"
through,thruu,através-de
just,jâst,"justo, só"
form,fórm,"forma, formulário"
sentence,sêntâns,sentença
great,greit,"ótimo, excelente, grande"
think,thênk,pensar
say,sei,dizer
help,rrêlp,ajudar
low,lou,baixo
line,lain,"linha, fila"
differ,dêfâr,diferir
turn,târn,"tornar, vez"
cause,cóz,causa
much,mâtch,muito
mean,miin,"meio, significar"
before,bêfór,antes
move,muuv,movimento
right,rait,direito
boy,bói,garoto
old,ould,velho
too,tuu,também
same,seim,mesmo
tell,têl,contar
does,dâz,"faz, mesmo"
set,sêt,"conjunto, fixar"
three,thrii,três
want,uânt,querer
air,ér,ar
well,uel,"bem, poço"
also,ólsou,também
play,plei,"peça, tocar"
small,smól,pequeno
end,ênd,"fim, finalizar"
put,pôt,por
home,rroum,casa
read,riid,"ler, lido"
hand,rrénd,mão
port,pórt,porto
large,larj,grande
spell,spêl,"soletrar, encanto"
add,éd,adicionar
even,iivân,mesmo
land,lénd,terra
here,rriir,aqui
must,mâst,dever
big,bêg,grande
high,rrai,alto
such,sâtch,tal
follow,falou,seguir
act,ékt,"ato, agir"
why,uai,por-que
ask,ésk,"pedir, perguntar"
men,mên,homens
change,tcheinj,mudar
went,uent,foi
light,lait,"leve, luz"
kind,kaind,"bom, tipo"
off,óf,"por, desligado"
need,niid,precisar
house,rraus,casa
picture,pêktchâr,"foto, filme"
try,trai,tentar
us,âs,nos
again,âghein,de-novo
animal,énâmâl,animal
point,point,ponto
mother,mâdhâr,mãe
world,uârld,mundo
near,niir,perto
build,bêld,construir
self,self,"próprio, ego"
earth,ârth,terra
father,fódhâr,pai
head,rred,cabeça
